territoryKind,territoryId,lgaId
STATE_CONSTITUENCY,state-assembly-sc-723-og,inec-lga-563
STATE_CONSTITUENCY,state-assembly-sc-724-og,inec-lga-563
STATE_CONSTITUENCY,state-assembly-sc-725-og,inec-lga-577
STATE_CONSTITUENCY,state-assembly-sc-726-og,inec-lga-562
STATE_CONSTITUENCY,state-assembly-sc-727-og,inec-lga-576
STATE_CONSTITUENCY,state-assembly-sc-728-og,inec-lga-568
STATE_CONSTITUENCY,state-assembly-sc-729-og,inec-lga-568
STATE_CONSTITUENCY,state-assembly-sc-730-og,inec-lga-567
STATE_CONSTITUENCY,state-assembly-sc-731-og,inec-lga-570
STATE_CONSTITUENCY,state-assembly-sc-732-og,inec-lga-570
STATE_CONSTITUENCY,state-assembly-sc-733-og,inec-lga-569
STATE_CONSTITUENCY,state-assembly-sc-734-og,inec-lga-579
STATE_CONSTITUENCY,state-assembly-sc-735-og,inec-lga-572
STATE_CONSTITUENCY,state-assembly-sc-736-og,inec-lga-578
STATE_CONSTITUENCY,state-assembly-sc-737-og,inec-lga-571
STATE_CONSTITUENCY,state-assembly-sc-738-og,inec-lga-581
STATE_CONSTITUENCY,state-assembly-sc-739-og,inec-lga-581
STATE_CONSTITUENCY,state-assembly-sc-740-og,inec-lga-573
STATE_CONSTITUENCY,state-assembly-sc-941-og,inec-lga-580
STATE_CONSTITUENCY,state-assembly-sc-742-og,inec-lga-574
STATE_CONSTITUENCY,state-assembly-sc-743-og,inec-lga-565
STATE_CONSTITUENCY,state-assembly-sc-744-og,inec-lga-565
STATE_CONSTITUENCY,state-assembly-sc-745-og,inec-lga-575
STATE_CONSTITUENCY,state-assembly-sc-746-og,inec-lga-566
STATE_CONSTITUENCY,state-assembly-sc-747-og,inec-lga-564
STATE_CONSTITUENCY,state-assembly-sc-748-og,inec-lga-564
